order,pet_id,name,status,note
1,3004002,迪莫,已确认,
2,410058,白金独角兽 / 小独角兽,待确认,同一 pet_id 在现有样本中同时对应两种显示名
3,200024,圣羽翼王,已确认,
4,2000670,魔力猫,已确认,
5,3180001,小帕尔,已确认,
6,99000065,燃薪虫,已确认,
7,3001,喵喵,RocoData??,source=PETBASE_CONF; desc=喜欢阳光，喜欢新鲜的空气，会摇晃尾巴，受到惊吓会快速逃跑。虽然很胆小，但是也有时候非常调皮。
8,3002,水蓝蓝,RocoData??,source=PETBASE_CONF; desc=漂浮在水面上的精灵，没事吐个泡泡，头顶有一个红色的蝴蝶结。不在水中的时候，身体上也覆盖了一层液体薄膜。
9,3003,火花,RocoData??,source=PETBASE_CONF; desc=像一团迸发的小火花，坦诚炙热，生性勇敢无畏。能熟练运用火元素，偶尔有点冒失，是值得信赖的伙伴。
10,3004,迪莫,RocoData??,source=PETBASE_CONF; desc=这是关于勇气的故事，他很脆弱却也不曾退缩；这是关于梦想的故事，梦很简单却也执着。这就是我，迪莫。
11,3005,水灵,RocoData??,source=PETBASE_CONF; desc=将刚刚孕育的胚胎顶在头上，胚胎由特殊水元素包裹着。能将身边的水元素汇集在一起喷射出去，产生强大的冲击力。“无论是云中落下的一滴水，还是湖面中微风吹起的一道涟漪?
12,3006,火神,RocoData??,source=PETBASE_CONF; desc=强大的火焰之灵，只是靠近它就能够感受到温度的急剧变化。如果没有脖子上的项圈，它的火焰可能会暴走。“在磨练中成长，在烈火中重生，用意志在战斗，用生命在燃烧，永远?
13,3007,魔力猫,RocoData??,source=PETBASE_CONF; desc=普遍性情温和，体型巨大，据说深吸一口气能呼出将洛克都吹走的狂风，但通常情况下举止动作十分轻柔。“长了三条锋利的尾巴，经常会用身体冲撞碾压对手”。
14,3008,草头鸭,RocoData??,source=PETBASE_CONF; desc=眼睛长在两侧，不停地转动，不知道是不是在思考，很难解读它的行为规律。视觉范围有360度，从任何方向接近都会被它发现。
15,3009,赤毛鸡仔,RocoData??,source=PETBASE_CONF; desc=护食行为普遍比较严重，领地意识强，鸡仔常会为了食物大打出手。没有牙齿，有意吞下石头沙砾等物质帮助磨碎食物，尤其喜欢吃火焰石的碎粒。
16,3010,恶魔叮,RocoData??,source=PETBASE_CONF; desc=身体里似乎装满了坏心思，很轻松就能从试图抓住它的洛克手中挣脱。会三五成群地从洛克手上抢走东西，把东西丢下之后嘻嘻哈哈地飞走。如果惹怒它们的话，会气呼呼地撞向洛?
17,3011,恶魔狼,RocoData??,source=PETBASE_CONF; desc=胸前的毛发非常粗糙，似乎能够起到保护作用。能够在战场上高速地移动，迅猛的前爪攻击十分有力。
18,3012,鸭吉吉,RocoData??,source=PETBASE_CONF; desc=拥有蓬松的被毛，非常柔软。似乎很讨厌肢体接触，抗拒被抚摸。非常聪慧的物种，对环境中与众不同的东西十分敏感，尤其对于闪光的物体和新奇的事物格外感兴趣。
19,3013,铠甲虫,RocoData??,source=PETBASE_CONF; desc=全副武装没有破绽，头顶的巨钳令人生畏。甲壳有些沉重，依然可以飞行。但好处是，厚重的甲壳能够挡住敌人的攻击。
20,3014,阿米亚特,RocoData??,source=PETBASE_CONF; desc=全身都是岩石，但眼睛周围没有岩石保护，是十分脆弱的柔软皮肤。喜欢吃不同口味的矿石，总是静静呆着，没什么存在感。
21,3015,阿米樱,RocoData??,source=PETBASE_CONF; desc=石头组成的上身和双臂异常粗壮，腿部短小，经常会腿痛。重重挥拳的时候会把构成手部的石头都打散，不过很快就会用岩石修补好。
22,3016,罗隐,RocoData??,source=PETBASE_CONF; desc=身体中结晶脉络光滑透亮，十分坚硬，似乎是某种矿石。长着凶狠的样貌，揣着不知如何表达的善意，示好的时候会展示一下由石头构成的肌肉。
23,3017,蹦蹦种子,RocoData??,source=PETBASE_CONF; desc=总是蹦蹦跳跳的，会用滚动的方式攻击。对温度和湿度都很敏感，但就算冷得发抖也不抱团取暖。
24,3018,蹦蹦草,RocoData??,source=PETBASE_CONF; desc=挥舞着长满刺的双手跳来跳去，要小心地接近。在太阳光下变得格外兴奋，情绪波动时头顶的花苞有可能突然绽放。
25,3019,蹦蹦花,RocoData??,source=PETBASE_CONF; desc=休息的时候会把脚插入地下一动不动，但似乎随时能够进入战斗状态。头上的花不允许任何人触碰，那似乎是它生命力量的来源。
26,3020,地鼠,RocoData??,source=PETBASE_CONF; desc=有着小巧的身体，敏感的尾巴是它最大的弱点。族群数量庞大，生命力极强，几乎不需要喝水。
27,3021,遁鼠,RocoData??,source=PETBASE_CONF; desc=尾巴上有一层坚固的壳，所以挖洞的时候不必担心身后。耳朵的尖端粗糙而耐脏，把摄取的水分和养分都储存在饱满的大耳朵里。
28,3022,遁地鼠,RocoData??,source=PETBASE_CONF; desc=精力旺盛，时常在烈日下的沙漠里飞奔。能够四脚共用，在地下挖掘复杂的洞系，休息的时候常常躲在地下的洞里。
29,3023,火云斗鸡,RocoData??,source=PETBASE_CONF; desc=将翅膀作为武器，被它攻击过的地方都会留下火焰燎烤的痕迹，但同时也会烤焦自己。身体的分泌物也是易燃物。
30,3024,伊丽莎白,RocoData??,source=PETBASE_CONF; desc=将翅膀作为武器，被它攻击过的地方都会留下火焰燎烤的痕迹，但同时也会烤焦自己。身体的分泌物也是易燃物。
31,3025,喵呜,RocoData??,source=PETBASE_CONF; desc=爱在泉水边嬉戏，是喵喵的进化型，芭蕉叶状的尾巴变成了两条。胆量变大了，会经常吐舌头挑衅对手。
32,3026,绿草精灵,RocoData??,source=PETBASE_CONF; desc=在森林里挥舞着手中的木棍，好像是在做施放巫术的练习。偶尔会和帽子交谈，晒太阳的时候可能会发出诡异的笑声。
33,3027,蒲公英娃娃,RocoData??,source=PETBASE_CONF; desc=三个可爱的小家伙簇拥着一团轻盈的绒球，绒球的内部构造不得而知。协同发力的话，能够随心所欲地借助风力飞往任何地方。
34,3028,冬羽雀,RocoData??,source=PETBASE_CONF; desc=体型又小又圆，眼睛周围生长着一层柔软绒毛。羽绒非常厚，为了抵御寒冷的冬夜，常与同伴挤在一起栖息。
35,3029,奇丽草,RocoData??,source=PETBASE_CONF; desc=头顶着花苞爬着前进，总会朝着太阳光的方向。花苞里面似乎孕育着什么，要是长期照不到太阳，花苞就会萎缩。
36,3030,奇丽叶,RocoData??,source=PETBASE_CONF; desc=头顶的花苞十分巨大，花苞成长速度已经超过身体，头部上方是视野盲区，由身体下面五个足状的突起维持平衡。
37,3031,奇丽花,RocoData??,source=PETBASE_CONF; desc=巨大的花朵盛开了，花瓣像是一顶遮阳帽，粗大的花蕊像触角一样，花朵很好闻，有类似柑橘的香甜气味，对小型精灵有强烈吸引力。
38,3032,焰火,RocoData??,source=PETBASE_CONF; desc=长出了一对大翅膀，但似乎并不是用来飞行的。能用双手释放出更加强力的火焰，但不太熟练。
39,3033,波波拉,RocoData??,source=PETBASE_CONF; desc=在水中自如地游动，头上的触角可以感受水中的变化，总是带着一颗球一样的东西。身旁环绕着特殊的水元素，水元素凝结体中蕴含魔法能量的波动。
40,3034,蒲公英,RocoData??,source=PETBASE_CONF; desc=喜欢阳光，可爱的圆形精灵，三只一起在草丛中随风飘动。风吹到哪就会飞到哪，总是无忧无虑的。
41,3035,魔草巫灵,RocoData??,source=PETBASE_CONF; desc=守护着森林的小巫师，头上的帽子似乎已经跟随它多年了。帽子的两侧是它树叶状的耳朵，能听到树木之间的对话。
42,3036,鸭吉吉,RocoData??,source=PETBASE_CONF; desc=拥有蓬松的被毛，非常柔软。似乎很讨厌肢体接触，抗拒被抚摸。非常聪慧的物种，对环境中与众不同的东西十分敏感，尤其对于闪光的物体和新奇的事物格外感兴趣。
43,3037,岚鸟,RocoData??,source=PETBASE_CONF; desc=眼神锐利，有着绅士般冷静而又端庄的非凡气质，让它在贵族当中颇有人气。胸腹绒羽形成稳定的隔热层，能在强风中维持体温，拥有较强的耐力。
44,3038,小甲虫,RocoData??,source=PETBASE_CONF; desc=头盔顶部和双手上都有黄色的尖角，锋利而坚硬。听说在它们的世界里，坚硬且粗壮的角是身份地位的象征。
45,3039,叮叮恶魔,RocoData??,source=PETBASE_CONF; desc=一直在思考如何恶作剧，还会每天进行吓人的练习。总是歪嘴笑着，一副玩世不恭的样子，其实非常害怕失去别人的注意力。非常重视诺言，会坚定地完成自己的约定。
46,3040,丢丢,RocoData??,source=PETBASE_CONF; desc=有看到什么都会去舔一下试试看的习惯，经常忘记把舌头收回去。双眼对强光非常敏感，白天会老老实实躲在室内或者阴凉的地方。
47,3041,卡卡虫,RocoData??,source=PETBASE_CONF; desc=用四只吸盘在任何地形快速地移动，静止不动的时候很难分辨。尾巴牢牢抓着植物的茎，没事就会拿下来舔，它的唾液似乎会让果实越变越硬。
48,3042,卡瓦重,RocoData??,source=PETBASE_CONF; desc=手里拿的是生长着果实的枝条，既是武器也是乐器，需要时还能解解嘴馋。战斗像舞蹈一样，用细长灵活的舌头和尾巴表演，让人眼花缭乱。
49,3043,伊贝儿,RocoData??,source=PETBASE_CONF; desc=它头顶长着一团蓬松的绿色苔藓，压低身体时能很好地融入草丛，几乎难以分辨。苔藓本身不疏水，一旦沾到水就会迅速吸收并变得沉重，让它行动迟缓甚至走不动，只能停在原地?
50,3044,伊贝粉粉,RocoData??,source=PETBASE_CONF; desc=苔藓常把眼睛遮住，因此它对细微动作的反应显得迟钝。若有洛克替它把苔藓梳理开，它会明显变得开心。进食后体型会短暂膨大一圈，随后再慢慢恢复原状。
51,3045,锥尾羊,RocoData??,source=PETBASE_CONF; desc=白色的毛十分蓬松，脚掌柔软，移动时悄无声息，因此很擅长藏身草原与坡地。它性格安静，同类之间常用轻轻顶犄角的方式交流。
52,3046,铃兰羊,RocoData??,source=PETBASE_CONF; desc=白天会懒洋洋地趴在草原上休息，主要在早晨和黄昏行动，一般会脱离种群独自生活。跳跃力惊人，在山坡上如履平地，从100米的高度一跃而下也没事。
53,3047,花影羚羊,RocoData??,source=PETBASE_CONF; desc=进化后，分叉的角更为锋利，中间盛开一朵蓝色花朵，花瓣能体现它们的身体状态，疲劳时，花瓣会略微下垂。花朵在夜晚能发出怪异的微光，能够迷惑对手。
54,3048,圣光迪莫,RocoData??,source=PETBASE_CONF; desc=身体中蕴含着光之魔法的力量。有着光一般的勇气，无论什么情况下都会守护同伴。“这一次，带着梦想回来，这一次，带着光明回来，这一次带着无限的荣耀回来”。
55,3049,白发懒人,RocoData??,source=PETBASE_CONF; desc=一直闭着眼睛在睡觉，即使是醒了也看不出来。在它睡着的时候也能对听到的声音有所反应，仿佛是个熟练的梦游者。
56,3050,记忆石,RocoData??,source=PETBASE_CONF; desc=埋在土地里露出上半截，就像是石碑一样。通过扫描分析它所散发的波动，能窥见一点点王国百年前的历史。
57,3051,圣草迪莫,RocoData??,source=PETBASE_CONF; desc=身体中蕴含着草之魔法的力量。 有着草一般的坚韧，无论什么情况下都会守护同伴。
58,3052,煤球憨憨,RocoData??,source=PETBASE_CONF; desc=在矿洞中与石头作伴，无忧无虑地生活着，性情温和憨厚。用尚不成熟的魔力将两块石头牢牢吸在头顶，那似乎是它很珍视的东西，生怕弄丢了。
